startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,9.745,right,1,0.667,0,0,0,5,1,>>>>>,congruent,right,IL,001,2022-05-29_18h28.08.118,flanker-basic,2021.2.3,MacIntel,45.45454545
,,left,1,0.601,0,1,1,2,1,<<<<<,congruent,left,IL,001,2022-05-29_18h28.08.118,flanker-basic,2021.2.3,MacIntel,45.45454545
,,left,1,0.448,0,2,2,0,1,<<<<<,congruent,left,IL,001,2022-05-29_18h28.08.118,flanker-basic,2021.2.3,MacIntel,45.45454545
,,right,1,0.408,0,3,3,7,1,>>>>>,congruent,right,IL,001,2022-05-29_18h28.08.118,flanker-basic,2021.2.3,MacIntel,45.45454545
,,left,1,0.473,0,4,4,6,1,<<<<<,congruent,left,IL,001,2022-05-29_18h28.08.118,flanker-basic,2021.2.3,MacIntel,45.45454545
,,right,1,0.395,0,5,5,3,1,>>>>>,congruent,right,IL,001,2022-05-29_18h28.08.118,flanker-basic,2021.2.3,MacIntel,45.45454545
,,left,0,2.752,0,6,6,8,1,<<><<,incongruent,right,IL,001,2022-05-29_18h28.08.118,flanker-basic,2021.2.3,MacIntel,45.45454545
,,right,0,0.749,0,7,7,9,1,>><>>,incongruent,left,IL,001,2022-05-29_18h28.08.118,flanker-basic,2021.2.3,MacIntel,45.45454545
,,right,1,0.582,0,8,8,1,1,>>>>>,congruent,right,IL,001,2022-05-29_18h28.08.118,flanker-basic,2021.2.3,MacIntel,45.45454545
,,left,1,0.458,0,9,9,4,1,<<<<<,congruent,left,IL,001,2022-05-29_18h28.08.118,flanker-basic,2021.2.3,MacIntel,45.45454545
