startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,9.5854,right,1,0.595,0,0,0,5,1,>>>>>,congruent,right,,001,2022-10-27_14h36.51.823,flanker-basic,2021.2.3,Win32,60.09976561
,,left,1,0.4005,0,1,1,0,1,<<<<<,congruent,left,,001,2022-10-27_14h36.51.823,flanker-basic,2021.2.3,Win32,60.09976561
,,right,1,0.4747,0,2,2,3,1,>>>>>,congruent,right,,001,2022-10-27_14h36.51.823,flanker-basic,2021.2.3,Win32,60.09976561
,,right,1,0.4898,0,3,3,1,1,>>>>>,congruent,right,,001,2022-10-27_14h36.51.823,flanker-basic,2021.2.3,Win32,60.09976561
,,left,1,0.4707,0,4,4,6,1,<<<<<,congruent,left,,001,2022-10-27_14h36.51.823,flanker-basic,2021.2.3,Win32,60.09976561
,,left,1,0.3881,0,5,5,2,1,<<<<<,congruent,left,,001,2022-10-27_14h36.51.823,flanker-basic,2021.2.3,Win32,60.09976561
,,right,1,0.5343,0,6,6,7,1,>>>>>,congruent,right,,001,2022-10-27_14h36.51.823,flanker-basic,2021.2.3,Win32,60.09976561
,,right,0,2.3506,0,7,7,9,1,>><>>,incongruent,left,,001,2022-10-27_14h36.51.823,flanker-basic,2021.2.3,Win32,60.09976561
,,right,1,0.9184,0,8,8,8,1,<<><<,incongruent,right,,001,2022-10-27_14h36.51.823,flanker-basic,2021.2.3,Win32,60.09976561
,,left,1,0.5673,0,9,9,4,1,<<<<<,congruent,left,,001,2022-10-27_14h36.51.823,flanker-basic,2021.2.3,Win32,60.09976561
