startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,6.4248,left,0,1.0404,0,0,0,8,1,<<><<,incongruent,right,S,001,2022-06-05_08h30.23.867,flanker-basic,2021.2.3,Win32,60.0024001
,,right,1,0.5753,0,1,1,7,1,>>>>>,congruent,right,S,001,2022-06-05_08h30.23.867,flanker-basic,2021.2.3,Win32,60.0024001
,,left,1,0.4593,0,2,2,0,1,<<<<<,congruent,left,S,001,2022-06-05_08h30.23.867,flanker-basic,2021.2.3,Win32,60.0024001
,,right,1,0.3775,0,3,3,3,1,>>>>>,congruent,right,S,001,2022-06-05_08h30.23.867,flanker-basic,2021.2.3,Win32,60.0024001
,,left,1,0.3662,0,4,4,2,1,<<<<<,congruent,left,S,001,2022-06-05_08h30.23.867,flanker-basic,2021.2.3,Win32,60.0024001
,,right,1,0.4096,0,5,5,1,1,>>>>>,congruent,right,S,001,2022-06-05_08h30.23.867,flanker-basic,2021.2.3,Win32,60.0024001
,,left,1,0.3601,0,6,6,4,1,<<<<<,congruent,left,S,001,2022-06-05_08h30.23.867,flanker-basic,2021.2.3,Win32,60.0024001
,,right,0,0.6092,0,7,7,9,1,>><>>,incongruent,left,S,001,2022-06-05_08h30.23.867,flanker-basic,2021.2.3,Win32,60.0024001
,,left,1,0.4109,0,8,8,6,1,<<<<<,congruent,left,S,001,2022-06-05_08h30.23.867,flanker-basic,2021.2.3,Win32,60.0024001
,,right,1,0.4254,0,9,9,5,1,>>>>>,congruent,right,S,001,2022-06-05_08h30.23.867,flanker-basic,2021.2.3,Win32,60.0024001
