startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,3.996,left,1,0.4794,0,0,0,4,1,<<<<<,congruent,left,joshzaid,001,2022-06-06_18h29.23.257,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.3764,0,1,1,6,1,<<<<<,congruent,left,joshzaid,001,2022-06-06_18h29.23.257,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.3607,0,2,2,7,1,>>>>>,congruent,right,joshzaid,001,2022-06-06_18h29.23.257,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,0,1.1169,0,3,3,9,1,>><>>,incongruent,left,joshzaid,001,2022-06-06_18h29.23.257,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.4999,0,4,4,2,1,<<<<<,congruent,left,joshzaid,001,2022-06-06_18h29.23.257,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.4666,0,5,5,0,1,<<<<<,congruent,left,joshzaid,001,2022-06-06_18h29.23.257,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.6001,0,6,6,3,1,>>>>>,congruent,right,joshzaid,001,2022-06-06_18h29.23.257,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.5511,0,7,7,1,1,>>>>>,congruent,right,joshzaid,001,2022-06-06_18h29.23.257,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.6008,0,8,8,5,1,>>>>>,congruent,right,joshzaid,001,2022-06-06_18h29.23.257,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.6829,0,9,9,8,1,<<><<,incongruent,right,joshzaid,001,2022-06-06_18h29.23.257,flanker-basic,2021.2.3,MacIntel,60.0024001
