startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,2.8564,right,1,0.3897,0,0,0,5,1,>>>>>,congruent,right,,001,2022-12-05_16h35.27.925,flanker-basic,2021.2.3,MacIntel,120.0048002
,,left,1,0.3713,0,1,1,9,1,>><>>,incongruent,left,,001,2022-12-05_16h35.27.925,flanker-basic,2021.2.3,MacIntel,120.0048002
,,left,1,0.3417,0,2,2,6,1,<<<<<,congruent,left,,001,2022-12-05_16h35.27.925,flanker-basic,2021.2.3,MacIntel,120.0048002
,,left,1,0.3069,0,3,3,2,1,<<<<<,congruent,left,,001,2022-12-05_16h35.27.925,flanker-basic,2021.2.3,MacIntel,120.0048002
,,left,1,0.2523,0,4,4,0,1,<<<<<,congruent,left,,001,2022-12-05_16h35.27.925,flanker-basic,2021.2.3,MacIntel,120.0048002
,,right,1,0.3667,0,5,5,1,1,>>>>>,congruent,right,,001,2022-12-05_16h35.27.925,flanker-basic,2021.2.3,MacIntel,120.0048002
,,left,1,0.2939,0,6,6,4,1,<<<<<,congruent,left,,001,2022-12-05_16h35.27.925,flanker-basic,2021.2.3,MacIntel,120.0048002
,,right,1,0.2676,0,7,7,7,1,>>>>>,congruent,right,,001,2022-12-05_16h35.27.925,flanker-basic,2021.2.3,MacIntel,120.0048002
,,left,0,0.2299,0,8,8,8,1,<<><<,incongruent,right,,001,2022-12-05_16h35.27.925,flanker-basic,2021.2.3,MacIntel,120.0048002
,,right,1,0.3367,0,9,9,3,1,>>>>>,congruent,right,,001,2022-12-05_16h35.27.925,flanker-basic,2021.2.3,MacIntel,120.0048002
