startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,15.6541,left,1,1.6477,0,0,0,9,1,>><>>,incongruent,left,spencer ,001,2022-06-14_11h03.44.212,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.8016,0,1,1,0,1,<<<<<,congruent,left,spencer ,001,2022-06-14_11h03.44.212,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.7442,0,2,2,6,1,<<<<<,congruent,left,spencer ,001,2022-06-14_11h03.44.212,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.5149,0,3,3,5,1,>>>>>,congruent,right,spencer ,001,2022-06-14_11h03.44.212,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.4988,0,4,4,3,1,>>>>>,congruent,right,spencer ,001,2022-06-14_11h03.44.212,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.6747,0,5,5,1,1,>>>>>,congruent,right,spencer ,001,2022-06-14_11h03.44.212,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.403,0,6,6,7,1,>>>>>,congruent,right,spencer ,001,2022-06-14_11h03.44.212,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.7304,0,7,7,8,1,<<><<,incongruent,right,spencer ,001,2022-06-14_11h03.44.212,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.5343,0,8,8,4,1,<<<<<,congruent,left,spencer ,001,2022-06-14_11h03.44.212,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.5051,0,9,9,2,1,<<<<<,congruent,left,spencer ,001,2022-06-14_11h03.44.212,flanker-basic,2021.2.3,MacIntel,60.0024001
